KEGG_Module	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_clade_1	p_clade_3	p_clade_4	p_clade_2	N_clade_1	N_clade_3	N_clade_4	N_clade_2
Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	0	1	1	NA	M00878	GC_00001949, GC_00004387	1	1	1	1	139	10	28	55
Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	0	1	1	NA	M00024	GC_00000694	1	1	1	1	139	10	28	55
Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine!!!Tyrosine biosynthesis, chorismate => HPP => tyrosine	0	1	1	NA	M00024!!!M00025	GC_00001388	1	1	1	1	139	10	28	55
Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate!!!Methanogenesis, acetate => methane!!!Methanogen!!!Acetogen	0	1	1	NA	M00579!!!M00357!!!M00617!!!M00618	GC_00001092	1	1	1	1	139	10	28	55
Photorespiration!!!Formaldehyde assimilation, serine pathway!!!C1-unit interconversion, prokaryotes!!!C1-unit interconversion, eukaryotes	0	1	1	NA	M00532!!!M00346!!!M00140!!!M00141	GC_00001864, GC_00009358, GC_00011291	1	1	1	1	139	10	28	55
Proline biosynthesis, glutamate => proline	0	1	1	NA	M00015	GC_00000525, GC_00001855, GC_00002231, GC_00002612, GC_00011024	1	1	1	1	139	10	28	55
PRPP biosynthesis, ribose 5P => PRPP	0	1	1	NA	M00005	GC_00000943	1	1	1	1	139	10	28	55
Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	0	1	1	NA	M00046	GC_00000766, GC_00004348	1	1	1	1	139	10	28	55
Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	0	1	1	NA	M00053	GC_00000377, GC_00000562, GC_00000991, GC_00001692, GC_00001796, GC_00002362, GC_00005075	1	1	1	1	139	10	28	55
Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	0	1	1	NA	M00052	GC_00000818, GC_00002544	1	1	1	1	139	10	28	55
Pyruvate oxidation, pyruvate => acetyl-CoA!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Anoxygenic photosynthesis in green sulfur bacteria	0	1	1	NA	M00307!!!M00173!!!M00614	GC_00001507	1	1	1	1	139	10	28	55
Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)!!!C1-unit interconversion, prokaryotes!!!Acetogen	0	1	1	NA	M00377!!!M00140!!!M00618	GC_00001203, GC_00002147	1	1	1	1	139	10	28	55
Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	0	1	1	NA	M00125	GC_00000218, GC_00000549, GC_00000835, GC_00000929, GC_00001007, GC_00001130, GC_00001217, GC_00001739, GC_00002383, GC_00002645, GC_00002678, GC_00003134, GC_00011452, GC_00012479, GC_00013039	1	1	1	1	139	10	28	55
Serine biosynthesis, glycerate-3P => serine	0	1	1	NA	M00020	GC_00000085, GC_00000765, GC_00001018, GC_00010105	1	1	1	1	139	10	28	55
Serine biosynthesis, glycerate-3P => serine!!!Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	0	1	1	NA	M00020!!!M00124	GC_00002351	1	1	1	1	139	10	28	55
Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	0	1	1	NA	M00022	GC_00001213, GC_00001505, GC_00001682, GC_00001683, GC_00001837, GC_00002270, GC_00002344, GC_00002572, GC_00002598	1	1	1	1	139	10	28	55
Siroheme biosynthesis, glutamyl-tRNA => siroheme!!!Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	0	1	1	NA	M00846!!!M00924	GC_00000803	1	1	1	1	139	10	28	55
Siroheme biosynthesis, glutamyl-tRNA => siroheme!!!Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide!!!Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	0	1	1	NA	M00846!!!M00924!!!M00925	GC_00000634	1	1	1	1	139	10	28	55
Siroheme biosynthesis, glutamyl-tRNA => siroheme!!!Heme biosynthesis, animals and fungi, glycine => heme!!!Heme biosynthesis, plants and bacteria, glutamate => heme!!!Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	0	1	1	NA	M00846!!!M00868!!!M00121!!!M00926	GC_00000728, GC_00002154	1	1	1	1	139	10	28	55
Siroheme biosynthesis, glutamyl-tRNA => siroheme!!!Heme biosynthesis, plants and bacteria, glutamate => heme!!!Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	0	1	1	NA	M00846!!!M00121!!!M00926	GC_00000828, GC_00002195	1	1	1	1	139	10	28	55
Tetrahydrofolate biosynthesis, GTP => THF!!!Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	0	1	1	NA	M00126!!!M00841	GC_00002504	1	1	1	1	139	10	28	55
Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP!!!Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP	0	1	1	NA	M00897!!!M00898	GC_00002115	1	1	1	1	139	10	28	55
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	0	1	1	NA	M00127	GC_00002328	1	1	1	1	139	10	28	55
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP!!!Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP!!!Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP!!!Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP	0	1	1	NA	M00127!!!M00895!!!M00896!!!M00897	GC_00001145	1	1	1	1	139	10	28	55
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP!!!Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP!!!Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP!!!Thiamine salvage pathway, HMP/HET => TMP	0	1	1	NA	M00127!!!M00895!!!M00896!!!M00899	GC_00002077, GC_00002113, GC_00005896, GC_00005910	1	1	1	1	139	10	28	55
Thiamine salvage pathway, HMP/HET => TMP	0	1	1	NA	M00899	GC_00001922	1	1	1	1	139	10	28	55
Threonine biosynthesis, aspartate => homoserine => threonine	0	1	1	NA	M00018	GC_00002044, GC_00002208	1	1	1	1	139	10	28	55
Threonine biosynthesis, aspartate => homoserine => threonine!!!Ectoine biosynthesis, aspartate => ectoine!!!Methionine biosynthesis, apartate => homoserine => methionine!!!Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine!!!Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	0	1	1	NA	M00018!!!M00033!!!M00017!!!M00016!!!M00525!!!M00526!!!M00527	GC_00001164	1	1	1	1	139	10	28	55
Threonine biosynthesis, aspartate => homoserine => threonine!!!Methionine biosynthesis, apartate => homoserine => methionine	0	1	1	NA	M00018!!!M00017	GC_00001284	1	1	1	1	139	10	28	55
Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol	0	1	1	NA	M00112	GC_00001137	1	1	1	1	139	10	28	55
Triacylglycerol biosynthesis	0	1	1	NA	M00089	GC_00001183	1	1	1	1	139	10	28	55
Tryptophan biosynthesis, chorismate => tryptophan	0	1	1	NA	M00023	GC_00000378, GC_00000501, GC_00000518, GC_00000561, GC_00002018, GC_00002255	1	1	1	1	139	10	28	55
Tyrosine biosynthesis, chorismate => HPP => tyrosine	0	1	1	NA	M00025	GC_00000708	1	1	1	1	139	10	28	55
UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc!!!UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	0	1	1	NA	M00892!!!M00909	GC_00001028	1	1	1	1	139	10	28	55
UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	0	1	1	NA	M00909	GC_00001818, GC_00002454	1	1	1	1	139	10	28	55
Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	0	1	1	NA	M00051	GC_00000038, GC_00000804, GC_00001264, GC_00001948, GC_00002126, GC_00002139, GC_00002930, GC_00005630, GC_00014296, GC_00014424	1	1	1	1	139	10	28	55
V/A-type ATPase, prokaryotes	0	1	1	NA	M00159	GC_00001075, GC_00001681, GC_00001813, GC_00001881, GC_00001899, GC_00001936	1	1	1	1	139	10	28	55
Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine!!!Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	0	1	1	NA	M00019!!!M00570	GC_00000682, GC_00000753, GC_00000912, GC_00001451, GC_00001621, GC_00002178	1	1	1	1	139	10	28	55
Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine!!!Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine!!!Leucine degradation, leucine => acetoacetate + acetyl-CoA!!!Pantothenate biosynthesis, valine/L-aspartate => pantothenate	0	1	1	NA	M00019!!!M00570!!!M00036!!!M00119	GC_00002007, GC_00013513	1	1	1	1	139	10	28	55
Vancomycin resistance, D-Ala-D-Lac type	0	1	1	NA	M00651	GC_00000130, GC_00001314, GC_00002169, GC_00002293, GC_00002795, GC_00007566, GC_00008107, GC_00008371, GC_00008416, GC_00009820, GC_00011062, GC_00012106, GC_00013113, GC_00013169, GC_00013173, GC_00013439, GC_00014130, GC_00014307, GC_00014557	1	1	1	1	139	10	28	55
Vancomycin resistance, D-Ala-D-Ser type	0	1	1	NA	M00652	GC_00000047, GC_00000904, GC_00000996, GC_00001466, GC_00001838, GC_00001871, GC_00002444, GC_00014042	1	1	1	1	139	10	28	55
