KEGG_Module	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_clade_1	p_clade_3	p_clade_2	p_clade_4	N_clade_1	N_clade_3	N_clade_2	N_clade_4
Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)!!!C1-unit interconversion, prokaryotes!!!Acetogen	0	1	1	NA	M00377!!!M00140!!!M00618	GC_00002320, GC_00002521	1	1	1	1	57	3	36	17
Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	0	1	1	NA	M00125	GC_00000483, GC_00000673, GC_00000761, GC_00000924, GC_00001578, GC_00001762, GC_00002289, GC_00002403, GC_00002496, GC_00002731, GC_00002737, GC_00002836, GC_00009353	1	1	1	1	57	3	36	17
Serine biosynthesis, glycerate-3P => serine	0	1	1	NA	M00020	GC_00000089, GC_00000614, GC_00000830, GC_00011892	1	1	1	1	57	3	36	17
Serine biosynthesis, glycerate-3P => serine!!!Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	0	1	1	NA	M00020!!!M00124	GC_00002489	1	1	1	1	57	3	36	17
Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	0	1	1	NA	M00022	GC_00001261, GC_00001518, GC_00001520, GC_00001585, GC_00001586, GC_00001873, GC_00002237, GC_00002338, GC_00002375	1	1	1	1	57	3	36	17
Siroheme biosynthesis, glutamyl-tRNA => siroheme!!!Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide!!!Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	0	1	1	NA	M00846!!!M00924!!!M00925	GC_00001026	1	1	1	1	57	3	36	17
Siroheme biosynthesis, glutamyl-tRNA => siroheme!!!Heme biosynthesis, animals and fungi, glycine => heme!!!Heme biosynthesis, plants and bacteria, glutamate => heme!!!Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	0	1	1	NA	M00846!!!M00868!!!M00121!!!M00926	GC_00000581, GC_00002418	1	1	1	1	57	3	36	17
Siroheme biosynthesis, glutamyl-tRNA => siroheme!!!Heme biosynthesis, plants and bacteria, glutamate => heme!!!Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	0	1	1	NA	M00846!!!M00121!!!M00926	GC_00000963, GC_00002197	1	1	1	1	57	3	36	17
Sphingosine biosynthesis	0	1	1	NA	M00099	GC_00000334	1	1	1	1	57	3	36	17
Tetrahydrofolate biosynthesis, GTP => THF	0	1	1	NA	M00126	GC_00001865	1	1	1	1	57	3	36	17
Tetrahydrofolate biosynthesis, GTP => THF!!!Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	0	1	1	NA	M00126!!!M00841	GC_00002617	1	1	1	1	57	3	36	17
Tetrahydrofolate biosynthesis, GTP => THF!!!Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	0	1	1	NA	M00126!!!M00840	GC_00001694, GC_00011956	1	1	1	1	57	3	36	17
Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP!!!Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP	0	1	1	NA	M00897!!!M00898	GC_00002125	1	1	1	1	57	3	36	17
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	0	1	1	NA	M00127	GC_00002456	1	1	1	1	57	3	36	17
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP!!!Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP	0	1	1	NA	M00127!!!M00895	GC_00001304	1	1	1	1	57	3	36	17
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP!!!Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP!!!Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP!!!Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP	0	1	1	NA	M00127!!!M00895!!!M00896!!!M00897	GC_00000903	1	1	1	1	57	3	36	17
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP!!!Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP!!!Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP!!!Thiamine salvage pathway, HMP/HET => TMP	0	1	1	NA	M00127!!!M00895!!!M00896!!!M00899	GC_00002097, GC_00002730, GC_00004993, GC_00004998, GC_00009352	1	1	1	1	57	3	36	17
Thiamine salvage pathway, HMP/HET => TMP	0	1	1	NA	M00899	GC_00001888	1	1	1	1	57	3	36	17
Threonine biosynthesis, aspartate => homoserine => threonine	0	1	1	NA	M00018	GC_00001887, GC_00002100	1	1	1	1	57	3	36	17
Threonine biosynthesis, aspartate => homoserine => threonine!!!Ectoine biosynthesis, aspartate => ectoine!!!Methionine biosynthesis, apartate => homoserine => methionine!!!Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine!!!Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	0	1	1	NA	M00018!!!M00033!!!M00017!!!M00016!!!M00525!!!M00526!!!M00527	GC_00002187	1	1	1	1	57	3	36	17
Threonine biosynthesis, aspartate => homoserine => threonine!!!Methionine biosynthesis, apartate => homoserine => methionine	0	1	1	NA	M00018!!!M00017	GC_00001017	1	1	1	1	57	3	36	17
Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol	0	1	1	NA	M00112	GC_00000887	1	1	1	1	57	3	36	17
Triacylglycerol biosynthesis	0	1	1	NA	M00089	GC_00000951	1	1	1	1	57	3	36	17
Tryptophan biosynthesis, chorismate => tryptophan	0	1	1	NA	M00023	GC_00000335, GC_00000429, GC_00000608, GC_00001463, GC_00001749, GC_00002062	1	1	1	1	57	3	36	17
Tyrosine biosynthesis, chorismate => HPP => tyrosine	0	1	1	NA	M00025	GC_00000564	1	1	1	1	57	3	36	17
UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc!!!UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	0	1	1	NA	M00892!!!M00909	GC_00001931	1	1	1	1	57	3	36	17
UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	0	1	1	NA	M00909	GC_00001830, GC_00002310	1	1	1	1	57	3	36	17
Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	0	1	1	NA	M00051	GC_00000037, GC_00000539, GC_00001023, GC_00002089, GC_00002114, GC_00002194, GC_00002272	1	1	1	1	57	3	36	17
V/A-type ATPase, prokaryotes	0	1	1	NA	M00159	GC_00001612, GC_00001759, GC_00001889, GC_00001960, GC_00002005, GC_00002155	1	1	1	1	57	3	36	17
Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine!!!Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	0	1	1	NA	M00019!!!M00570	GC_00000628, GC_00000744, GC_00000756, GC_00001241, GC_00001476, GC_00002270	1	1	1	1	57	3	36	17
Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine!!!Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine!!!Leucine degradation, leucine => acetoacetate + acetyl-CoA!!!Pantothenate biosynthesis, valine/L-aspartate => pantothenate	0	1	1	NA	M00019!!!M00570!!!M00036!!!M00119	GC_00001623	1	1	1	1	57	3	36	17
Vancomycin resistance, D-Ala-D-Lac type	0	1	1	NA	M00651	GC_00000126, GC_00000728, GC_00002391, GC_00002425, GC_00002881, GC_00007981, GC_00008632, GC_00008633, GC_00008947, GC_00009427, GC_00010624	1	1	1	1	57	3	36	17
Vancomycin resistance, D-Ala-D-Ser type	0	1	1	NA	M00652	GC_00000038, GC_00001248, GC_00001249, GC_00001808, GC_00001848, GC_00001855, GC_00002331	1	1	1	1	57	3	36	17
